pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_dens,pl_insol,pl_eqt,pl_orbeccen,pl_ratror,pl_ratdor,pl_trandep,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_pnum,pl_ratror_reflink,pl_ratdor_reflink,pl_trandep_reflink
"EPIC 248847494 b",12.44199000,4131.79000000,3650.00000000000,4.5000000000,,0.1900,183.00,0.000000,0.04200000,,0.18000000,4898.00,2.700000,0.900000,-0.2300,3.520000,551.88600000,1,"<a refstr=GILES_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615L..13G/abstract target=ref>Giles et al. 2018</a>",,"<a refstr=GILES_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615L..13G/abstract target=ref>Giles et al. 2018</a>"
"Kepler-1636 b",3.23000000,10.50000000,425.47785000000,1.1219100000,1.710000,1.2170,248.00,0.000000,0.02882700,187.200000,0.09984000,5797.00,1.020000,1.010000,0.0300,4.430000,1947.54000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-1822 b",2.64755943,7.50000000,22.13339996000,0.1416000000,2.220000,15.6500,507.00,0.000000,0.02299600,84.400000,0.06546000,5165.00,0.702000,0.782000,-0.3200,4.633000,897.59700000,1,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-164 c",2.73000000,7.90000000,10.94572300000,0.0970000000,2.130000,131.4870,881.00,0.000000,0.02166500,27.700000,0.05328000,5888.00,1.148000,1.036000,0.0000,4.331000,890.75800000,4,"<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"HD 95872 b",13.00000000,1188.68420000,4375.00000000000,5.1500000000,2.970000,0.0216,103.45,0.060000,,,,5312.00,0.840000,0.700000,0.4100,4.430000,72.21950000,1,,,
"K2-100 b",3.88000000,21.80000000,1.67390350000,0.0301000000,2.040000,1915.0000,1841.00,0.000000,0.02867000,5.210000,0.01225000,5945.00,1.240000,1.150000,0.2200,4.330000,188.95900000,1,"<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>","<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>"
"K2-80 b",2.01000000,4.70000000,19.09180000000,0.1350000000,3.180000,32.5000,666.05,,0.02100000,29.258083,0.05620000,5441.00,0.870000,0.900000,0.0700,4.519000,200.80200000,3,"<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>"
"Kepler-649 b",2.26000000,5.73000000,29.90722674000,0.1752200000,2.730000,25.1470,564.00,0.000000,0.02230500,48.250000,0.05974000,5871.00,0.940000,0.970000,-0.1700,4.480000,513.74800000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-1002 b",1.71000000,3.57000000,4.33642933100,0.0564000000,3.920000,981.6800,1453.00,0.000000,0.00957800,4.860000,0.01092000,6144.00,1.570000,1.220000,0.0400,4.130000,408.30300000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-246 c",1.50000000,2.86000000,11.18716100000,0.0950000000,4.660000,43.2080,667.00,0.000000,0.01704200,24.720000,0.03536000,5206.00,0.831000,0.853000,0.2000,4.557000,626.07800000,2,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"GJ 1132 c",1.52000000,2.91000000,8.92900000000,0.0476000000,4.550000,2.1053,300.00,0.190000,,,,3090.00,0.226000,0.198000,-0.1800,5.020000,12.61300000,2,,,
