hostname,pl_name,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_dens,pl_insol,st_mass,st_teff,discoverymethod
"K2-275","K2-275 b",2,3.28096260000,0.0277000000,2.34000000,0.25000000,-0.27000000,6.08000000,,,"M-R relationship",2.610000,161.2476,0.770000,4841.00,"Transit"
"GJ 508.2","GJ 508.2 b",1,5300.00000000000,4.8500000000,,,,587.98255295,,,"Msini",,0.0025,0.540000,3720.00,"Radial Velocity"
"Kepler-82","Kepler-82 c",5,51.54000000000,0.2626000000,5.34000000,0.32000000,-0.13000000,13.90000000,1.30000000,-1.20000000,"Mass",0.494000,8.0350,0.910000,5401.00,"Transit"
"HIP 65407","HIP 65407 c",2,67.30000000000,0.3160000000,13.90000000,,,249.17872000,17.16282000,-17.16282000,"Msini",0.510000,6.5252,0.930000,5460.00,"Radial Velocity"
"HIP 12961","HIP 12961 b",1,57.43500000000,0.2500000000,13.20000000,,,114.41880000,22.24810000,-22.24810000,"Msini",0.273000,1.5889,0.690000,3901.00,"Radial Velocity"
"Kepler-1572","Kepler-1572 b",1,5.49548621000,0.0583800000,0.94000000,0.19000000,-0.08000000,0.77900000,,,"M-R relationship",5.150000,583.5230,0.970000,5618.00,"Transit"
"KOI-1783","KOI-1783.01",2,134.46280000000,0.5266100000,8.86000000,0.25000000,-0.24000000,71.00000000,11.20000000,-9.20000000,"Mass",0.560000,5.7000,1.076000,5922.00,"Transit"
"HD 106252","HD 106252 b",1,1535.00000000000,2.6550000000,12.50000000,,,3178.28407000,247.90615746,-232.01473711,"Mass",8.940000,0.1884,1.050000,5874.00,"Radial Velocity"
"K2-128","K2-128 b",1,5.67581900000,0.0560000000,1.42000000,0.16000000,-0.13000000,2.60000000,,,"M-R relationship",4.990000,68.8000,0.711248,4469.51,"Transit"
"HD 173416","HD 173416 b",1,322.03000000000,1.1580000000,13.40000000,,,585.12209729,65.47265184,-71.51139158,"Msini",1.340000,58.1544,2.000000,4683.00,"Radial Velocity"
