pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_dens,pl_insol,st_mass,st_rad,st_teff,st_lum,st_met,sy_pnum,discoverymethod,pl_dens_reflink,pl_orbsmax_reflink,pl_insol_reflink
"TOI-2431 b",6.20000000,1.53400000,0.22419578000,0.0063000000,9.400000,2649.1500,0.661000,0.651000,4109.00,-0.96257,-0.0200,1,"Transit","<a refstr=TAS_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A.238T/abstract target=ref>Ta&#x219; et al. 2026</a>","<a refstr=TAS_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A.238T/abstract target=ref>Ta&#x219; et al. 2026</a>","<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>"
"TOI-2076 b",6.70000000,2.59000000,10.35504000000,0.0878100000,2.080000,49.4000,0.849000,0.758000,5187.00,-0.42285,-0.0900,4,"Transit","<a refstr=WANG_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026NatAs.tmp...51W/abstract target=ref>Wang et al. 2026</a>","<a refstr=WANG_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026NatAs.tmp...51W/abstract target=ref>Wang et al. 2026</a>","<a refstr=FRAZIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..41F/abstract target=ref>Frazier et al. 2023</a>"
"TOI-431 c",2.83000000,1.49000000,4.84940000000,0.0520000000,4.700000,100.6717,0.780000,0.731000,4850.00,-0.56509,0.2000,3,"Radial Velocity","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>","<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2782O/abstract target=ref>Osborn et al. 2021</a>","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>"
"GJ 3090 b",4.52000000,2.18000000,2.85310198000,0.0316000000,2.400000,45.4000,0.519000,0.516000,3707.00,-1.34199,0.1200,2,"Transit","<a refstr=LAMONTAGNE_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...706A.278L/abstract target=ref>Lamontagne et al. 2026</a>","<a refstr=LAMONTAGNE_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...706A.278L/abstract target=ref>Lamontagne et al. 2026</a>","<a refstr=LAMONTAGNE_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...706A.278L/abstract target=ref>Lamontagne et al. 2026</a>"
"TOI-700 e",0.81800000,0.95300000,27.80978000000,0.1340000000,5.190000,1.2700,0.415000,0.421000,3459.00,-1.64016,-0.0700,4,"Transit","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>","<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>","<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>"
"TOI-1136 e",6.07000000,2.63900000,18.80100000000,0.1400000000,1.810000,48.4771,1.022000,0.968000,5770.00,-0.02687,0.0700,6,"Transit","<a refstr=BEARD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167...70B/abstract target=ref>Beard et al. 2024</a>","<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>","<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>"
"Kepler-602 b",5.02000000,2.09000000,15.28469497000,0.1224000000,3.020000,128.7830,1.080000,1.130000,6062.00,0.32624,-0.0200,1,"Transit","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>"
"Kepler-372 b",2.42000000,1.36000000,6.84969200000,0.0750000000,5.290000,384.6270,1.202000,1.137000,6509.00,0.32073,-0.1300,3,"Transit","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>","<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>","<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>"
"EPIC 212624936 c",5.90000000,2.30000000,11.81143700000,,2.660000,,1.000000,0.930000,5765.00,-0.12371,-0.3900,2,"Transit","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>",,
"WASP-44 b",276.51210000,12.32990000,2.42380400000,0.0345300000,0.811000,533.0000,0.935000,0.906000,5420.00,-0.19777,-0.0030,1,"Transit","<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>","<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>","<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>"
