pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbper,pl_dens,discoverymethod,st_teff,st_mass,st_met
"Kepler-175 c",3.10000000,1.56000000,-1.56000000,9.80000000,,,"M-R relationship",34.03525700000,1.810000,"Transit",6064.00,0.969000,0.0400
"HD 4732 b",13.40000000,,,631.20721630,49.58123149,-48.94557468,"Msini",371.74000000000,1.440000,"Radial Velocity",4898.00,1.390000,-0.0100
"TOI-406.01",2.08000000,0.16000000,-0.15000000,6.57000000,1.00000000,-0.90000000,"Mass",13.17568200000,4.100000,"Transit",3392.00,0.408000,-0.0200
"Kepler-27 d",2.70619460,,,7.78000000,,,"M-R relationship",6.54628992100,2.160000,"Transit",5251.00,0.926000,0.2100
"BD+55 362 b",14.00000000,,,228.83645304,25.42627256,-25.42627256,"Msini",265.59000000000,0.458000,"Radial Velocity",5012.00,0.909000,0.1800
"TOI-663 c",2.26000000,0.10000000,-0.10000000,3.65000000,0.97000000,-0.97000000,"Mass",4.69555070000,1.730000,"Transit",3681.00,0.514000,0.0700
"K2-403 b",5.33300000,0.35700000,-0.38700000,24.60000000,,,"M-R relationship",33.58997900000,0.891000,"Transit",5511.00,0.784000,-0.1620
"Kepler-58 c",2.86000000,,,53.00000000,,,"Mass",15.57415680000,10.000000,"Transit",5843.00,0.950000,0.1000
"Kepler-235 e",2.22000000,0.29000000,-0.29000000,5.56000000,,,"M-R relationship",46.18366900000,2.790000,"Transit",4255.00,0.581000,-0.5100
"Kepler-1325 b",2.86000000,0.40000000,-0.47000000,8.55000000,,,"M-R relationship",33.87868380000,2.010000,"Transit",5550.00,0.930000,0.0100
"Kepler-1143 b",1.67000000,0.13000000,-0.11000000,3.43000000,,,"M-R relationship",2.88890484900,4.050000,"Transit",5053.00,0.810000,-0.0600
"TOI-3693 b",12.59889431,0.32506044,-0.25780656,324.18497514,76.27881768,-69.92224954,"Mass",9.08851600000,0.890000,"Transit",5321.00,0.867000,0.0710
"Kepler-221 c",2.93000000,0.27000000,-0.27000000,9.30000000,2.40000000,-1.70000000,"Mass",5.69058600000,1.940000,"Transit",5243.00,0.854000,0.0616
"HD 163607 b",13.90000000,,,249.05158800,3.11473400,-3.11473400,"Msini",75.22030000000,0.510000,"Radial Velocity",5522.00,1.120000,0.2100
"TOI-2081 b",2.04000000,0.50000000,-0.54000000,4.82000000,,,"M-R relationship",10.50534000000,3.120000,"Transit",3800.00,0.540000,-0.5000
"Kepler-1660 AB b",12.90000000,,,1586.59940774,73.10053361,-73.10053361,"Mass",239.50440000000,4.060000,"Eclipse Timing Variations",6305.24,1.136600,-0.3600
"TOI-2158 b",10.76062147,0.13450777,-0.13450777,260.61929374,25.42627256,-25.42627256,"Mass",8.60077000000,1.140000,"Transit",5673.00,1.120000,0.4700
"K2-158 b",2.64000000,0.16000000,-0.10000000,7.46000000,,,"M-R relationship",10.06049000000,2.230000,"Transit",5503.00,0.920000,0.0700
"Kepler-1323 b",1.52000000,0.33000000,-0.24000000,2.92000000,,,"M-R relationship",0.92990667800,4.570000,"Transit",6169.00,1.180000,0.0200
"K2-389 b",2.33000000,0.12000000,-0.06000000,6.04000000,,,"M-R relationship",8.58289000000,2.620000,"Transit",5773.00,0.990000,0.0380
"K2-184 b",1.47000000,0.11000000,-0.05000000,2.76000000,,,"M-R relationship",16.97801020000,4.770000,"Transit",5245.00,0.840000,-0.1000
"7 CMa c",13.90000000,,,276.51210000,19.06980000,-19.06980000,"Msin(i)/sin(i)",996.00000000000,0.566000,"Radial Velocity",4826.00,1.340000,0.2100
