source_id,random_index,ra,dec,l,b,parallax,pmra,pmdec
2065736234082188928,3291,314.32140528267,42.259969043346274,83.75385156738321,-2.1284323886861367,1.6187872994518222,-8.633848931694873,-13.279645016630068
5867599915421754496,3292,209.70876660959166,-59.41570000225472,311.41996755101013,2.340787434964202,0.6035189521106136,-9.210094952419015,-1.5505909565757383
4102899146038850432,3311,278.4923817170452,-16.04932589777738,16.675365767200013,-3.4935053439577084,1.1843565808932577,-13.830386530106555,-14.958547454977792
6092564667350276736,3393,213.32471151217987,-48.33771734241118,316.69513940117355,12.334303222777155,0.8343743384660681,-14.13578785371005,-4.668074993486027
469909416920419328,3437,58.075758836727296,57.71535515258066,145.24044104780052,2.902008610783067,0.7700241167489984,0.41887251457663177,0.2424551992116588
1986688494875924224,3462,339.16363594912565,47.17160621689865,100.43424151771319,-9.727147207621071,1.145115562782573,-7.817733075392565,-2.812602739183623
4121707907316843648,3468,262.61654361755785,-19.229685146021488,6.410962908916637,8.081125434894632,1.3511602252148003,-5.122157794072502,-8.533554151379716
5872338810507027968,3478,210.70542412463325,-55.709546778078135,312.9253236380246,5.771010645517304,1.1938380438459908,0.28226465053955185,-5.88620523492243
5241513736588113536,3494,162.0575073952828,-62.941555092417765,289.43821365947366,-3.343744556299967,0.7708723671467519,6.199394474517676,-3.095558032507037
2216116989176380928,3547,324.2331381519848,62.12957190988753,102.21730819927551,7.359826583542146,0.6370635534201153,1.613653880790076,-6.739256940602759
5694136494226945024,3550,122.827139427272,-26.74176599139539,245.6642205137348,3.797841404176188,0.5684981520225285,-2.8543682511021644,2.6965676859182857
5352502494727417984,3637,158.1367729786098,-54.816423887227224,283.7482734652401,2.7975650873900326,0.8852592362681132,-4.624769387566353,3.138453616719645
5294688592768812160,3645,121.5830015739274,-57.96062831939953,271.8074447360222,-13.589979554244966,0.5644383499716097,-0.1996720944232514,2.1181258091987187
6065290869115994880,3719,204.45460610318614,-54.84307675627686,309.63445379730473,7.423962573660977,1.0099024472235358,-31.755501680398368,-16.976966793957946
5940000209149707392,3723,252.27703167837728,-46.66335549814489,339.1563193395377,-1.197514979761704,1.1434175851988417,-10.619016236084821,-14.176430959438978
5540250874024089856,3751,125.95808720471182,-38.309830902803185,256.72936091414675,-0.4984084265164018,0.8565655448802347,-9.491070968328861,9.651002983589837
5896186358730705920,3872,214.5414202620878,-53.9305385749265,315.5858221394265,6.796763113980957,1.695288718100998,2.0057191624894073,4.448254812217674
542552436476985600,3914,45.50712317691562,71.15859594063288,133.15251370771648,10.925964835117794,1.4463286783194225,6.073985247796791,-3.8150437455349206
1820334893877862912,3940,299.21005169209144,16.741955463075396,55.36174720932782,-6.233020306411936,0.6285697475889506,5.575451174265785,2.068085443149332
5860116463143592704,4033,185.91755225754417,-66.53441946644892,300.16722918739606,-3.81184040850161,1.1994441109331269,-16.98877436700861,-2.4392764499388244
5355511720621464832,4108,156.72636330293435,-54.59811047924138,282.93687273117683,2.563651197783375,0.9272288119947376,-3.873182202014658,4.019651630665157
5599234450176239360,4128,113.97819767561852,-30.236388971774566,244.659625691385,-4.665631689899327,0.7340078701880838,-3.1653007619974303,1.5361483601397832
5877016614020573952,4167,227.71995468778246,-58.692928779638656,320.2107568480498,-0.5798729489230757,0.7493157284587859,8.2259379732087,-3.8690649211272232
5934909646439967232,4219,243.65623499711035,-51.73222776298163,331.6141972006003,-0.550251571920071,0.5043815420266494,-0.3640541857070251,-0.401555115546263
4186476662622501376,4266,291.51013860545953,-13.125985054569304,24.931582120172973,-13.527731705110403,1.3088813496207692,-6.71496364888352,-6.699344820000586
4035533408627344384,4275,269.2714424685472,-40.59168770555767,351.11098615194487,-7.927164826434873,0.5729534122971492,1.2416299393363017,-4.638268977654333
4522101697950855040,4311,276.08109949246193,16.507020078981125,44.868686988798906,13.313273824470139,0.7165060699249644,0.046933057919886625,-2.3494126038776386
2934137424015072256,4344,107.21375646328818,-18.936421540196783,231.75858227659705,-4.822054679598756,1.1053302332146375,-7.133692056579807,9.075886101212875
2071553784473177344,4413,309.16624632597427,47.15927112224385,85.27875846964977,3.7932380560683163,0.5243157743111426,-1.6035267937066147,-1.7615083035438608
5352724046321992960,4469,163.8240277927167,-55.92781341675866,287.1263599635219,3.3384103765313613,0.5312316153681687,-4.4137376659453365,0.7642687788426649
5334833927013007744,4580,177.41334993140055,-62.137211769171266,295.78164266482594,-0.12625110432930542,0.8456392733302291,-11.663928793841936,3.6370262048988313
2034379502533178496,4639,299.30678143118666,33.07367888581043,69.39389402274287,2.159538477387972,1.6048479432630884,-6.124172117002628,-10.314060243635764
545845370721163264,4645,40.35141976475039,72.60547698121222,131.02733636612456,11.4851748854171,1.4792810648805417,-3.784082698371179,5.217936542919491
5828927136515764992,4655,244.29966854817766,-64.0444401044538,323.24369191627346,-9.624339747832346,0.7732850667229628,-3.173711757022687,-2.05999854418541
5975495403733681536,4694,259.77720334674956,-35.570339206936296,351.3849569835188,1.0638884195103073,0.8830810100909693,-13.982829774004326,-12.03400096056701
2043615984285004032,4746,285.48338624462053,32.24527209878662,63.17085545059566,12.053682156085175,0.5926897587915373,-1.745782286781199,0.6068282674626198
