source_id,random_index,flags_flame
4863286787471867776,6937,00
115566372957605376,6952,00
1858867725531612288,7126,10
3346749709456338560,7130,00
5156359550270224000,7204,00
5335437284017631616,7216,00
4492781639843100416,7270,00
2033613623967313280,7312,10
2453233337486703104,7333,00
1869296318448459648,7547,00
6440009276569495936,7554,00
6306778806931054464,7600,00
5872761263517468288,7607,00
5643305212677288576,7647,00
1847907175143201408,7648,00
6815094263790919040,7703,00
4667001181406932992,7727,00
525553368239342336,7801,00
4844948857665632768,7809,00
6037596919990262144,7850,00
1272804044819090816,7890,00
5863251759235046272,7909,00
561261210938082560,8237,00
5773293733615706240,8636,00
414435692339847808,8682,00
4683354866386442240,8695,00
4168429592303018624,8751,00
3076087433168590336,8853,00
1377723326991409792,8865,00
4610559366904338944,8999,00
4290464559679270144,9057,00
2978203204348846208,9072,00
6205158536382586240,9099,00
1319389837091894400,9180,00
2240887336876751616,9230,00
6801346936765589248,9260,00
5236550472379458944,9350,00
1151298664100233216,9378,00
3130386363935239040,9381,00
5237080196456380416,9473,00
6834448696391488896,9475,00
3047432339089953920,9495,00
5357304199442586368,9855,00
5335983633870829056,9987,00
5837243773726590592,9997,00
1753436448890582144,10125,00
5695112826185069312,10154,10
1697766732062677248,10184,00
3137128229934198528,10274,10
353293293828427904,10313,10
1867853003272310016,10426,00
3391995128332245376,10459,00
1601886603701234048,10481,00
3546323611200338688,10524,00
2061568810164500352,10562,00
2072073711733161856,10606,00
4261741433344735872,10639,00
2062936602605221120,10675,00
6485262220229951744,10695,00
5850593288037357056,10782,00
6658829098567624192,10848,00
5230859400160619776,10875,00
4588514055691458560,10936,00
2864059809891503872,10980,10
539719299951863808,11013,00
5792562228215933056,11026,00
1065806927756209920,11222,00
154396004049421440,11323,00
5544315631071286784,11333,00
3076163299471021056,11586,00
2075430731201095680,11624,00
6540708736197046912,11636,00
1863259587294422144,11886,10
3432170183700865152,11899,00
4696251420520838272,11908,00
4855992970930277760,11977,00
920822163422267648,12045,00
1854606155902402816,12072,00
5210292760278564480,12076,00
5185013196951388544,12096,00
5394579017992211968,12178,00
5924025649551333888,12368,10
4756189475863434752,12379,00
5413662107449381120,12404,00
959829365643258112,12434,10
5339098520309903744,12707,00
5355868099824969216,12717,10
882698968550616704,12767,00
2023753375458742656,12812,00
3362728426607747712,12913,00
6395725689845915392,13044,00
4052985917973728512,13249,00
1847233999146916224,13255,00
16727763746927872,13306,00
3213232061122601216,13369,10
5258093959595628544,13424,00
5132880853848437760,13665,00
253297178048345088,13708,00
2048659237971240576,13711,10
5489058128022464128,13951,00
2048041552954315648,14055,00
1857042398791310848,14083,00
5611576536917584640,14254,00
5404897659756989312,14271,00
3524852240756507392,14283,00
5568376278372792832,14306,00
270360533362042112,14340,00
5253736144021062144,14412,00
3043354422255843328,14523,00
482091425938463232,14570,00
5243829617275518976,14609,00
5647945529696617472,14618,00
5228193256263231872,14782,00
2726425624385918976,14827,00
2032871728503518336,14860,00
4637212559552086144,14988,00
5373774368213223296,14996,10
533022385086478592,15013,10
