surface,species,dE_star,n_sites
Ag6Nb6,O1,-445.61699829888676,10
Ag6Nb6,S1,-335.1000355560609,8
Ag6Os6,C1,-156.70560612514237,10
Ag6Os6,C1H1,-174.09733544832125,10
Ag6Os6,C1H2,-190.50760961233755,10
Ag6Os6,C1H3,-207.41867677879782,10
Ag6Os6,H1,-16.59851693926612,10
Ag6Os6,H1N1,-293.3798131108779,10
Ag6Os6,H1O1,-459.86732995629427,20
Ag6Os6,H1S1,-349.55427204493026,10
Ag6Os6,H2O1,-476.79447238383,10
Ag6Os6,N1,-277.1262376056402,10
Ag6Os6,O1,-443.9062195476581,10
Ag6Os6,S1,-333.6713110980709,9
Ag6Pb6,C1,-154.2121056587639,8
Ag6Pb6,H1,-15.85618943501322,12
Ag6Pb6,N1,-274.5521142987491,10
Ag6Pb6,O1,-442.5101060284287,10
Ag6Pb6,S1,-332.93480016317335,8
Ag6Pd6,C1,-155.7036897740545,14
Ag6Pd6,C1H1,-173.04333201863483,10
Ag6Pd6,C1H2,-190.07251659144094,3
Ag6Pd6,C1H3,-207.51781234009832,2
Ag6Pd6,H1,-16.65856865386013,16
Ag6Pd6,H1N1,-292.518951321872,10
Ag6Pd6,H1O1,-459.59625872180914,58
Ag6Pd6,H1S1,-349.8500351612456,10
Ag6Pd6,H2O1,-476.8364505693753,10
Ag6Pd6,N1,-275.02027690628165,14
Ag6Pd6,O1,-442.1282032356321,14
Ag6Pd6,S1,-333.4108782901603,14
Ag6Pt6,C1,-156.58117853493604,14
Ag6Pt6,C1H1,-173.8747599339913,20
Ag6Pt6,C1H2,-189.97257829431328,20
Ag6Pt6,C1H3,-207.78117526981077,20
Ag6Pt6,H1,-16.798885107164097,14
Ag6Pt6,H1N1,-292.9837617590383,20
Ag6Pt6,H1O1,-459.5263351253234,80
Ag6Pt6,H1S1,-349.9879148351247,22
Ag6Pt6,H2O1,-476.8387723807027,24
Ag6Pt6,N1,-275.7679602911667,14
Ag6Pt6,O1,-442.4377529995836,14
Ag6Pt6,S1,-333.7742629198983,14
Ag6Re6,C1,-158.6323589089734,14
Ag6Re6,H1,-17.915769963256025,14
Ag6Re6,H1O1,-462.2776140651622,60
Ag6Re6,N1,-279.1269003176494,14
Ag6Re6,O1,-446.0355511522139,14
Ag6Re6,S1,-336.03306955425796,14
Ag6Rh6,C1,-157.1696043024931,14
Ag6Rh6,C1H1,-174.29069981417706,10
Ag6Rh6,C1H2,-190.78284486883058,10
Ag6Rh6,C1H3,-207.7177164178429,10
Ag6Rh6,H1,-16.75469790148054,16
Ag6Rh6,H1N1,-293.54715863176534,10
Ag6Rh6,H1O1,-460.08146436329116,60
Ag6Rh6,H1S1,-350.42045910174784,10
Ag6Rh6,H2O1,-476.85173166621826,10
Ag6Rh6,N1,-276.7177967746684,14
Ag6Rh6,O1,-443.18079657140333,14
Ag6Rh6,S1,-334.188757603486,14
Ag6Ru6,C1,-156.95876954789856,14
Ag6Ru6,C1H1,-174.29977916451753,10
Ag6Ru6,C1H2,-190.49907285699737,10
Ag6Ru6,C1H3,-207.51831711127306,10
Ag6Ru6,H1,-16.681075461579894,17
Ag6Ru6,H1N1,-293.7895519248559,10
Ag6Ru6,H1O1,-460.2145782353982,60
Ag6Ru6,H1S1,-350.1656542883138,10
Ag6Ru6,H2O1,-476.8243733408817,11
Ag6Ru6,N1,-276.9151795816433,14
Ag6Ru6,O1,-443.6240394017732,14
Ag6Ru6,S1,-334.22200365595927,14
Ag6Sc6,C1,-157.39881504066216,8
Ag6Sc6,H1,-17.237174513269565,9
Ag6Sc6,N1,-278.38402015018437,8
Ag6Sc6,O1,-446.73282980230215,8
Ag6Sc6,S1,-335.3678604724446,8
Ag6Sn6,C1,-154.54291894230118,8
Ag6Sn6,C1H1,-172.0418547232257,10
Ag6Sn6,C1H2,-189.45872396367486,10
Ag6Sn6,C1H3,-207.28118364263355,10
Ag6Sn6,H1,-15.777296694286633,11
Ag6Sn6,H1N1,-292.41530520158267,10
Ag6Sn6,H1S1,-349.1993968230963,10
Ag6Sn6,H2O1,-476.78004409176356,10
Ag6Sn6,N1,-274.8573141869347,10
Ag6Sn6,O1,-442.75760853094835,10
Ag6Sn6,S1,-332.82487692085124,8
Ag6Ta6,C1,-157.3138613723495,10
Ag6Ta6,H1,-17.209853875698172,10
Ag6Ta6,N1,-278.5935371935193,10
Ag6Ta6,O1,-445.98802143619105,10
Ag6Ta6,S1,-335.29839321086183,10
Ag6Tc6,C1,-157.49567355335603,8
Ag6Tc6,H1,-16.98604214819352,12
Ag6Tc6,H1O1,-460.9164786029796,20
Ag6Tc6,N1,-277.4834930072175,8
Ag6Tc6,O1,-444.4584903658106,9
Ag6Tc6,S1,-334.6785962551876,8
Ag6Ti6,C1,-157.03731126178172,8
Ag6Ti6,H1,-17.149350588180823,8
Ag6Ti6,N1,-278.62389285278186,8
Ag6Ti6,O1,-446.3522068969469,8
Ag6Ti6,S1,-335.27978497811273,8
Ag6Tl6,C1,-154.21559021253051,8
Ag6Tl6,H1,-15.864128084140248,10
Ag6Tl6,N1,-274.4353699788335,10
Ag6Tl6,O1,-442.54334078816464,10
Ag6Tl6,S1,-332.9703374141609,8
Ag6V6,C1,-157.08313509614527,8
Ag6V6,H1,-17.648544377589133,9
Ag6V6,N1,-278.3074343905755,8
Ag6V6,O1,-445.7400423262734,8
Ag6V6,S1,-335.06487953655596,8
Ag6W6,C1,-158.33918577217992,10
Ag6W6,H1,-17.924838429047668,10
Ag6W6,N1,-279.12766604599165,10
